date,price,volume,market_cap
2025-06-11,110212.73252109604,36303839182.734825,2189350055406.3333
2025-06-10,110261.57485948496,38222993297.50514,2191877481230.9468
2025-06-09,105692.24740699006,16044679696.270103,2100654769399.4705
2025-06-08,105681.4546141758,17749731308.73042,2100553336902.5076
2025-06-07,104409.74967959142,29897390978.090103,2075175500201.4253
2025-06-06,105885.0,46550352401.0,2066879437555.0
2025-06-05,105953.0,45847119172.0,2091567365418.0
2025-06-04,106709.0,48502426330.0,2100128462537.0
2025-06-03,105909.0,41036672277.0,2082367304548.0
2025-06-02,105814.0,32056311614.0,2078458788468.0
2025-06-01,104900.0,52475030430.0,2068239089343.0
2025-05-31,106275.0,66352202698.0,2092326965847.0
2025-05-30,108887.0,57796066880.0,2135019741165.0
2025-05-29,109205.0,56853679004.0,2151436024712.0
2025-05-28,110662.0,60988928308.0,2174662570692.0
2025-05-27,110266.0,58086118230.0,2176677665771.0
2025-05-26,109166.0,49701895674.0,2138614664568.0
2025-05-25,109409.0,70585183307.0,2155167747265.0
2025-05-24,111746.0,73702308031.0,2183414885296.0
2025-05-23,111924.0,110978858812.0,2205136289658.0
2025-05-22,109940.0,75066735086.0,2134080105753.0
2025-05-21,107252.0,65882025303.0,2100420296994.0
2025-05-20,106850.0,97659528668.0,2069179881195.0
2025-05-19,106394.0,39944096121.0,2068898867602.0
2025-05-18,103670.0,43871702798.0,2049397659223.0
2025-05-17,104448.0,58092167347.0,2062440077582.0
2025-05-16,104095.0,50581733564.0,2042516183008.0
2025-05-15,104242.0,56588030392.0,2057960732232.0
2025-05-14,104947.0,69898356203.0,2052736799029.0
2025-05-13,105579.0,64739179229.0,2057075900300.0
2025-05-12,104866.0,58238322698.0,2068980187960.0
2025-05-11,104945.0,60326425794.0,2054613460307.0
2025-05-10,104124.0,147151393227.0,2045886900373.0
2025-05-09,103730.0,113472456034.0,1986875297727.0
2025-05-08,97582.48,66944324988.0,1923189617345.0
2025-05-07,96887.86,41226240723.0,1877543394651.0
2025-05-06,95188.98,40484381114.0,1874518241879.0
2025-05-05,96283.3,30006728723.0,1898465444223.0
2025-05-04,96893.87,39272722871.0,1912513105364.0
2025-05-03,97754.32,59617739654.0,1925679416506.0
2025-05-02,97408.73,73100608322.0,1903317418809.0
2025-05-01,95176.71,51110036352.0,1876366450657.0
2025-04-30,95440.02,53275148518.0,1883311540612.0
2025-04-29,95512.84,47019637241.0,1873289878196.0
2025-04-28,95118.88,33903052084.0,1869133400014.0
2025-04-27,95159.98,45320444896.0,1875608936555.0
2025-04-26,95538.41,57823015672.0,1871335641433.0
2025-04-25,93989.0,59781596982.0,1846190642757.0
2025-04-24,94383.81,79929153065.0,1856407285386.0
2025-04-23,93729.04,61394088008.0,1780730400338.0
2025-04-22,88358.48,46101744165.0,1733086941755.0
2025-04-21,85320.15,23639652101.0,1683010284160.0
2025-04-20,85510.04,22003243114.0,1689659242621.0
2025-04-19,85109.28,30940394080.0,1679968878911.0
2025-04-18,85426.94,43303482367.0,1678993522204.0
2025-04-17,85332.95,45342365089.0,1667600790770.0
2025-04-16,86413.41,57960999450.0,1687913843445.0
2025-04-15,85756.0,70255422114.0,1680958424658.0
2025-04-14,85780.08,60526622124.0,1676455094379.0
2025-04-13,85786.19,69354362438.0,1670075109950.0
2025-04-12,84102.66,68172551563.0,1628880458513.0
2025-04-11,82617.98,94987109013.0,1608320178162.0
2025-04-10,83476.48,89266414296.0,1556205608698.0
2025-04-09,80757.99,95111641621.0,1562372791770.0
2025-04-08,80226.15,101964447740.0,1544464239033.0
2025-04-07,83704.76,29747694062.0,1626851505051.0
2025-04-06,84219.7,54248864826.0,1654109742457.0
2025-04-05,84676.27,62632262272.0,1654910625337.0
2025-04-04,83781.7,77668432600.0,1643472264746.0
2025-04-03,87898.01,52376111578.0,1688190001005.0
2025-04-02,85417.94,47683970205.0,1667079854423.0
2025-04-01,83750.0,38919650975.0,1633849331577.0
2025-03-31,83524.98,31733338257.0,1643757273159.0
2025-03-30,84573.51,42848927373.0,1649214876304.0
2025-03-29,87487.48,50686956681.0,1689251677527.0
2025-03-28,87706.66,45790132375.0,1729988949434.0
2025-03-27,88245.26,47668895554.0,1731789281822.0
2025-03-26,88448.53,56119416636.0,1731916339832.0
2025-03-25,88654.16,92018925792.0,1732703257783.0
2025-03-24,85804.35,65768043880.0,1679311077904.0
2025-03-23,84528.35,92973716555.0,1669817632500.0
2025-03-22,84789.6,70499840455.0,1669094291928.0
2025-03-21,87410.59,62868771995.0,1691193356250.0
2025-03-20,86891.95,78132906442.0,1666735074297.0
2025-03-19,83949.09,96487660397.0,1637257935310.0
2025-03-18,84663.79,47257506664.0,1657349084338.0
2025-03-17,84739.84,31567641072.0,1657871852101.0
2025-03-16,84652.22,46550538211.0,1670909585731.0
2025-03-15,85126.59,56526744238.0,1649042021849.0
2025-03-14,84187.97,61086516899.0,1632602135516.0
2025-03-13,84070.35,76918860095.0,1637675141128.0
2025-03-12,83390.39,89456436399.0,1607287578221.0
2025-03-11,83767.51,73877158368.0,1606216749265.0
2025-03-10,86449.41,34642707911.0,1673321126853.0
2025-03-09,86866.21,72159444574.0,1709870247214.0
2025-03-08,90938.71,97762631402.0,1746105339033.0
2025-03-07,92738.04,77139096016.0,1793579350159.0
2025-03-06,90855.97,90614579558.0,1757706315377.0
2025-03-05,88848.48,107614421820.0,1678926609764.0
2025-03-04,93956.01,109083137931.0,1800579423466.0
2025-03-03,94808.02,54036914312.0,1751024149322.0
2025-03-02,86541.42,82169791728.0,1686655018939.0
2025-03-01,84888.2,114808770267.0,1624974944099.0
2025-02-28,87020.64,100592101371.0,1689394103519.0
2025-02-27,89398.46,99646076735.0,1730505919717.0
2025-02-26,92516.4,103570253695.0,1771178337015.0
2025-02-25,96496.49,42915703252.0,1884412293752.0
2025-02-24,96649.99,28491898335.0,1903376303186.0
2025-02-23,96874.02,62605448426.0,1911875378462.0
2025-02-22,99433.96,55048598577.0,1937089206914.0
2025-02-21,98684.87,46556523352.0,1931015802954.0
2025-02-20,96824.87,57227125160.0,1901422869030.0
2025-02-19,96639.7,46646393398.0,1890961780615.0
2025-02-18,96928.96,35606804164.0,1903929147307.0
2025-02-17,97702.41,24935455180.0,1925797865420.0
2025-02-16,97964.82,43880503846.0,1933527836924.0
2025-02-15,98629.06,48799409931.0,1923503926458.0
2025-02-14,98062.17,63136043802.0,1910325646085.0
2025-02-13,98044.11,58173352163.0,1907453414925.0
2025-02-12,98424.33,46753246914.0,1925449737444.0
2025-02-11,98215.75,53325970817.0,1925993184810.0
2025-02-10,97278.04,32116590763.0,1912714801489.0
2025-02-09,96847.82,62373810394.0,1908201665424.0
2025-02-08,100023.0,67990905957.0,1928083793909.0
2025-02-07,99108.31,60696114351.0,1931608477136.0
2025-02-06,98876.15,81517859048.0,1936883763800.0
2025-02-05,101613.0,101079670881.0,1967339128698.0
2025-02-04,102289.0,130618314577.0,1917963058417.0
2025-02-03,101386.0,53761921060.0,1963730284765.0
2025-02-02,102760.0,53430949037.0,2020755402343.0
2025-02-01,105807.0,76033677212.0,2061170283945.0
2025-01-31,106208.0,75054210026.0,2082326892923.0
2025-01-30,104646.0,56703543831.0,2031386072113.0
2025-01-29,103556.0,81875109431.0,2028605776022.0
2025-01-28,103225.0,77302679559.0,1989535139826.0
2025-01-27,105393.0,28989514906.0,2076926468772.0
2025-01-26,105232.0,52193881184.0,2074620118169.0
2025-01-25,106948.0,115078130761.0,2081402267736.0
2025-01-24,106461.0,88297171089.0,2045675220955.0
2025-01-23,106189.0,87286860084.0,2078211862894.0
2025-01-22,107133.0,139085618269.0,2058710070902.0
2025-01-21,109079.0,148057020106.0,2073876283580.0
2025-01-20,106354.0,71704147686.0,2074454879075.0
2025-01-19,104959.0,79851654022.0,2056406022697.0
2025-01-18,105828.0,80029703797.0,2036603783703.0
2025-01-17,100616.0,74992466216.0,1971703690414.0
2025-01-16,100638.0,70069304046.0,1942834773949.0
2025-01-15,97316.06,89162525731.0,1899683295815.0
2025-01-14,95759.98,60704225079.0,1843035365619.0
2025-01-13,95314.07,26704832659.0,1872700186059.0
2025-01-12,95009.18,60600829825.0,1869739138503.0
2025-01-11,95738.27,84405720218.0,1866359318259.0
2025-01-10,95340.9,85716154824.0,1851270937381.0
2025-01-09,97268.67,85737267513.0,1891194933246.0
2025-01-08,102444.0,72033067739.0,1978855407464.0
2025-01-07,102440.0,53401942771.0,1984108911405.0
2025-01-06,98757.56,33142539324.0,1942558010010.0
2025-01-05,98727.99,47085373031.0,1941545303077.0
2025-01-04,98944.63,58117695883.0,1926076511510.0
2025-01-03,97820.94,52199445640.0,1907089349115.0
2025-01-02,95074.46,51859876688.0,1860687393383.0
2025-01-01,96016.01,75351850924.0,1856486204954.0
2024-12-31,94951.18,58331914972.0,1850687915428.0
2024-12-30,95272.03,35660027972.0,1872836839163.0
2024-12-29,95394.07,54047947733.0,1875425836829.0
2024-12-28,97199.96,66231541526.0,1892533809243.0
2024-12-27,99940.03,58620968527.0,1915420141812.0
2024-12-26,99436.0,62036161614.0,1949704818370.0
2024-12-25,99280.01,76323175683.0,1899057311856.0
2024-12-24,96433.71,74389445086.0,1876386494838.0
2024-12-23,97408.04,60172030056.0,1906302613171.0
2024-12-22,99490.36,103445426511.0,1933881968478.0
2024-12-21,98200.45,139703232932.0,1909058168448.0
2024-12-20,102672.0,128536950316.0,1985173434399.0
2024-12-19,106444.0,122105965620.0,2057582532860.0
2024-12-18,108239.0,124224918390.0,2112523563112.0
2024-12-17,107768.0,117242854003.0,2084952957361.0
2024-12-16,104921.0,74032778622.0,2029652386964.0
2024-12-15,102589.0,90624467771.0,2009150944520.0
2024-12-14,101818.0,109866813030.0,1988906701538.0
2024-12-13,102497.0,119055118107.0,1994228389411.0
2024-12-12,101825.0,137792236581.0,1955907945692.0
2024-12-11,98128.02,166373033665.0,1916908391045.0
2024-12-10,100968.0,106531591106.0,1949270156775.0
2024-12-09,101215.0,66927756251.0,1975119878168.0
2024-12-08,100428.0,113320436919.0,1972842731971.0
2024-12-07,101861.0,188013492242.0,1957049343779.0
2024-12-06,103484.0,184824248794.0,2000657732351.0
2024-12-05,98975.08,105283404460.0,1908424124262.0
2024-12-04,96238.1,106465586146.0,1890160822157.0
2024-12-03,98051.18,85292808200.0,1901101405236.0
2024-12-02,97767.64,53606873252.0,1916922956140.0
2024-12-01,97329.92,75686925476.0,1913487930005.0
2024-11-30,98564.62,73540702253.0,1915376254329.0
2024-11-29,96560.02,91367563527.0,1887668008967.0
2024-11-28,97208.23,105995810363.0,1864500796914.0
2024-11-27,94915.39,130295482810.0,1842938063043.0
2024-11-26,98746.64,81967757600.0,1914571548708.0
2024-11-25,98515.16,59912158588.0,1927720657889.0
2024-11-24,98874.93,83162177004.0,1944474660717.0
2024-11-23,99498.52,120715743966.0,1952242799855.0
2024-11-22,98789.88,124061794774.0,1920870646502.0
2024-11-21,94819.96,104283260658.0,1845779458933.0
2024-11-20,93836.94,103897079169.0,1818536542336.0
2024-11-19,92532.0,78257155574.0,1799245714804.0
2024-11-18,91447.99,59020288900.0,1787375905097.0
2024-11-17,91735.96,87437209942.0,1801356084789.0
2024-11-16,91741.72,115603162997.0,1763628734293.0
2024-11-15,91637.55,153146346264.0,1773909794873.0
2024-11-14,93243.92,160918008014.0,1759012763468.0
2024-11-13,89800.23,200970767180.0,1738592782127.0
2024-11-12,89424.41,115609444241.0,1642993507213.0
2024-11-11,81233.28,71609202780.0,1563829624115.0
2024-11-10,76893.95,57291171256.0,1509901429968.0
2024-11-09,77115.59,74504748582.0,1504924618188.0
2024-11-08,76751.96,103484517641.0,1489649632652.0
2024-11-07,76097.95,137250861477.0,1465110205211.0
2024-11-06,70435.69,59336565217.0,1363731448501.0
2024-11-05,69346.28,48962107476.0,1353435808921.0
2024-11-04,69373.64,36194109864.0,1353973920610.0
2024-11-03,69896.03,50326627050.0,1374269743731.0
2024-11-02,71520.59,64764647004.0,1378466264019.0
2024-11-01,72625.19,53854409839.0,1413995664371.0
2024-10-31,72865.93,71130395353.0,1427716315597.0
2024-10-30,73534.9,69264084198.0,1415305246139.0
2024-10-29,70130.8,37114871114.0,1357158014032.0
2024-10-28,68300.39,24371770054.0,1333083441991.0
2024-10-27,67363.21,55642452451.0,1324427980568.0
2024-10-26,68680.88,47280935129.0,1336900585749.0
2024-10-25,68704.49,50123672098.0,1334846995284.0
2024-10-24,67405.32,46287674514.0,1316702466145.0
2024-10-23,67781.79,55116769379.0,1331080919999.0
2024-10-22,69414.08,45600677050.0,1347458269494.0
2024-10-21,69315.86,21401472338.0,1353184866928.0
2024-10-20,68639.99,39854632470.0,1349788419169.0
2024-10-19,68963.99,54278095716.0,1346659620374.0
2024-10-18,67923.93,51428967059.0,1329511317965.0
2024-10-17,68274.26,85047855180.0,1334134211358.0
2024-10-16,67759.99,116765204876.0,1306322769726.0
2024-10-15,66419.87,99886309611.0,1280877236513.0
2024-10-14,63279.91,79286610370.0,1239946538824.0
2024-10-13,63440.44,95040455894.0,1243769524960.0
2024-10-12,63270.59,97531320750.0,1215919033599.0
2024-10-11,61300.02,93419872143.0,1197203364465.0
2024-10-10,62530.42,93092147716.0,1222680467456.0
2024-10-09,63130.04,107240146137.0,1233787868453.0
2024-10-08,64436.04,96095290446.0,1252777002072.0
2024-10-07,62915.02,73632122102.0,1230673337023.0
2024-10-06,62331.35,90303823444.0,1226360450089.0
